id,operacional_system,processor,memory,graphics,fk_game_id
3e69e975e8264e9799e6e3edd64f8e652,Windows 7 / 8.1 / 10 (64 bit),Intel Core i7 3770K 3.5 GHz or AMD equivalent,8 GB RAM,6 GB VRAM; NVIDIA GeForce GTX 1060 or AMD Radeon equivalent, 6 GB available space,3e69e975e8264e9799e6e3edd64f8e65
cbbde99547d54f41b8f7bd5fc46726c51,Microsoft® Windows® 7,1.8 GHz Processor,4 GB RAM,DirectX 10-compatible graphics card with at least 256MB of video memory,8 GB available space,cbbde99547d54f41b8f7bd5fc46726c5
cbbde99547d54f41b8f7bd5fc46726c52,Microsoft® Windows® 7,3.5 GHz Processor,8 GB RAM,DirectX 10-compatible graphics card with at least 1GB of video memory,8 GB available space,cbbde99547d54f41b8f7bd5fc46726c5
bff1d0022b6f4e409daa3663d67edab01,Windows 8.1 or Windows 10 (64-bit versions),Intel Core i3-7100/AMD Ryzen 3 1200,8GB,NVIDIA GeForce GTX 770/AMD Radeon R9 280X,55GB free space ,bff1d0022b6f4e409daa3663d67edab0
bff1d0022b6f4e409daa3663d67edab02,Windows 10 (64-bit version),Intel Core i7-6700K/AMD Ryzen 7 1700,16GB,NVIDIA GeForce GTX 1070/AMD RX Vega 56,55GB free space SSD,bff1d0022b6f4e409daa3663d67edab0
616d8e1ff26b4a65b14794e612da00c41,Windows 8.1 or Windows 10 (64-bit versions),Intel Core i3-7100/AMD Ryzen 3 1200,8GB,NVIDIA GeForce GTX 770/AMD Radeon R9 280X,55GB free space ,616d8e1ff26b4a65b14794e612da00c4
616d8e1ff26b4a65b14794e612da00c42,Windows 10 (64-bit version),Intel Core i7-6700K/AMD Ryzen 7 1700,16GB,NVIDIA GeForce GTX 1070/AMD RX Vega 56,55GB free space SSD,616d8e1ff26b4a65b14794e612da00c4
2ae6edb2223c4f8c97e9839b5b6497bb1,macOS 10.12+,Dual Core 2.4ghz,4 GB of RAM,Intel HD 5000 (Mac computers must support Metal API),15 GB,2ae6edb2223c4f8c97e9839b5b6497bb
2ae6edb2223c4f8c97e9839b5b6497bb2,macOS 10.14+,Quad Core 3.0 ghz+,8 GB of RAM,Intel UHD 630+ (Mac computers must support Metal API),20 GB,2ae6edb2223c4f8c97e9839b5b6497bb
f08e4c3a18b546568ccd07997590bee31,Windows 7,"Intel Core 2 Duo E8400, 3.0 GHz",4GB,,1.5 GB,f08e4c3a18b546568ccd07997590bee3
f08e4c3a18b546568ccd07997590bee32,Windows 10,"Intel Core i3-6100, 3.7 GHz",8GB,,1.5 GB,f08e4c3a18b546568ccd07997590bee3
cc097232e8584021853adf98adec1b8d1,Windows 10 (64 bit),Intel Core i5-2300 @ 2.8 GHz or Ryzen 3 1200 @ 3.1GHz or AMD FX-8350 @ 4.2GHz,8GB RAM,,55GB,cc097232e8584021853adf98adec1b8d
cc097232e8584021853adf98adec1b8d2, Windows 10 (64 bit), i5-6600 @ 3.3 GHz or Ryzen 3 1300 X @ 3.4 GHz,12GB RAM,,55GB,cc097232e8584021853adf98adec1b8d
409270ba4b814c20a761407ab7a49dbd1,Windows XP,Dual Core CPU 2.4 gHz,2 GB RAM,"Intel HD Graphics 4000, Nvidia GeForce 8000, ATI Radeon HD 4800 Series",2 GB available space,409270ba4b814c20a761407ab7a49dbd
409270ba4b814c20a761407ab7a49dbd2,TBD,TBD,TBD,TBD,TBD,409270ba4b814c20a761407ab7a49dbd
d80ba2f3338847d49a27d8e458d913341,Requires a 64-bit processor and operating system,,,,,d80ba2f3338847d49a27d8e458d91334
d80ba2f3338847d49a27d8e458d913342,Windows Vista SP2 64-bit or later,,,,,d80ba2f3338847d49a27d8e458d91334
a8953f3d2d55446aa2c8b4509b4b69601,Windows 7 64Bit Service Pack 1,Intel Core 2 Duo 2.4GHz,3 GB RAM,Nvidia GTS 450+ with 1024MB+ VRAM (excluding GT) - LATEST DRIVERS REQUIRED,30 GB available space,a8953f3d2d55446aa2c8b4509b4b6960
a8953f3d2d55446aa2c8b4509b4b69602,Windows 10 64 bit service pack 1,Intel Core 2 Duo 2.4GHz,3 GB RAM,Nvidia GTS 450+ with 1024MB+ VRAM (excluding GT) - LATEST DRIVERS REQUIRED,30 GB available space,a8953f3d2d55446aa2c8b4509b4b6960
b1e57a8fa2074f669abfbb294fd8e59e1,Windows 7,i5,6 Gb,GTX 770,5,b1e57a8fa2074f669abfbb294fd8e59e
b1e57a8fa2074f669abfbb294fd8e59e2,Windows 10,i7,8Gb,GTX 1060,5,b1e57a8fa2074f669abfbb294fd8e59e
14f7d8fdd5a44768b8aad40c6a5ae0181,"Snow Leopard 10.6.8, 32/64-bit", Intel Core i3 M380, 2 GB RAM,OpenGL 3.0+ (2.1 with ARB extensions acceptable),400 MB available space,14f7d8fdd5a44768b8aad40c6a5ae018
e8c01dff9a524977a2e51c5831155a911,macOS X/10 (64-bit Intel),Intel Core i5,4 GB,1024MB VRAM,,e8c01dff9a524977a2e51c5831155a91
e8c01dff9a524977a2e51c5831155a912,macOS X/10 (64-bit Intel),,,,,e8c01dff9a524977a2e51c5831155a91
1dbc4cac67ba46e39a2582dd18221a661,"Win 7, 8, 10","Intel Core i5-750, 2.67 GHz",4 GB ,NVIDIA GeForce GTX 660  | AMD Radeon HD 7950 ,,1dbc4cac67ba46e39a2582dd18221a66
1dbc4cac67ba46e39a2582dd18221a662,TBD,TBD,TBD,TBD,,1dbc4cac67ba46e39a2582dd18221a66
bc5f7e2b085044578a191eb1e2d7f9be1,Windows 7+ (64 bit),Intel Core i5-2500K CPU,4 GB,GTX 970,50 GB,bc5f7e2b085044578a191eb1e2d7f9be
bc5f7e2b085044578a191eb1e2d7f9be2,Windows 7+ (64 bit),Intel Core i7 2600k CPU,8 GB,GTX 1070,,bc5f7e2b085044578a191eb1e2d7f9be
475691037f00498fa752cd9ecf258b6b1,Windows 10 64-bit / Windows 7 64-bit*,Intel Core i3-6100 (or AMD equivalent),4 GB RAM,Nvidia GT 1030 2GB (or AMD equivalent),50 GB,475691037f00498fa752cd9ecf258b6b
475691037f00498fa752cd9ecf258b6b2,,,,,,475691037f00498fa752cd9ecf258b6b
6a9694e578ee4e598b16a02ef549b6291,Windows 7,Dual Core 3.0 GHz,2 GB RAM,DirectX 10 class GPU with 1024MB VRAM,2 GB available space,6a9694e578ee4e598b16a02ef549b629
8b620ab6eaad4c6182d44f07830fd8f61,Windows 7,2.2 GHz Dual core,2 GB RAM,"Intel HD 2000, NVIDIA GeForce 210, or ATI 4850",700 MB,8b620ab6eaad4c6182d44f07830fd8f6
8b620ab6eaad4c6182d44f07830fd8f62,Windows 10,2.5+ GHz Quad core,4 GB RAM,"NVIDIA GTX 660 or better, ATI 7950 or better",700 MB,8b620ab6eaad4c6182d44f07830fd8f6
c6f4afb96f6b456ebc9a522d8fb6b3a01,Windows 8,Intel Core i3-4160 (2 * 3600) or equivalent OR AMD FX-4300 (4 * 3800) or equivalent,4GB,GeForce GTX 660 (2048 MB) OR Radeon HD 7850 (2048 MB),5GB,c6f4afb96f6b456ebc9a522d8fb6b3a0
c6f4afb96f6b456ebc9a522d8fb6b3a02,Windows 10,Intel Core i7-4771 (4 * 3500) or equivalent OR AMD FX-9370 (8 * 4400) or equivalent,8GB,GeForce GTX 970 (4096 MB) OR Radeon RX Vega 56 (8192 MB),5GB,c6f4afb96f6b456ebc9a522d8fb6b3a0
a141915f0de3494791151b205a712cda1,Windows 7 SP1+,2.2GHz Dual Core,4 GB RAM," OpenGL 3.3 or DX10 compatible, 2GB+",2 GB available space,a141915f0de3494791151b205a712cda
a141915f0de3494791151b205a712cda2,TBD,TBD,TBD,TBD,TBD,a141915f0de3494791151b205a712cda
df959d76dda247a893f2c8b6d401dc261,Windows® XP (SP3) / Windows Vista® (SP2) / Windows® 7 (SP1) / Windows® 8,2.66 GHz Intel® Core™2 Duo E6700 or 3.00 GHz AMD Athlon™ 64 X2 6000+,2 GB,512 MB DirectX® 9.0c–compliant,3 GB HD space,df959d76dda247a893f2c8b6d401dc26
df959d76dda247a893f2c8b6d401dc262,Windows® XP (SP3) / Windows Vista® (SP2) / Windows® 7 (SP1) / Windows® 8,2.93 GHz Intel® Core™ i3-530 or 3.10 GHz AMD Phenom™ II X2 550 or better,4 GB,1024 MB DirectX 11–complaint or higher,3 GB HD space,df959d76dda247a893f2c8b6d401dc26
b14d60867fc34e6687e20f1cb98d6d741,Windows 7 SP1 or Windows 8.1 or Windows 10(64bit versions),Intel Core i5 750 @ 2.6 GHz or AMD Phenom II X4 @ 3.2 GHz,4 GB RAM,nVidia GeForce GTX460 or AMD Radeon HD5870 (1024MB VRAM with Shader Model 5.0),35 GB available space,b14d60867fc34e6687e20f1cb98d6d74
b14d60867fc34e6687e20f1cb98d6d742,"Windows 7 SP1, Windows 8, Windows 10 (64 bit versions only)",Intel Core i5 2400s @ 2.5 GHz or AMD FX 4100 @ 3.6,8 GB RAM,"nVidia GeForce GTX 680 or AMD Radeon HD7970 or better (2048MB VRAM or more, with Shader Model 5.0)",,b14d60867fc34e6687e20f1cb98d6d74
e6cd2745c0a3496383e0adc95c7b63b11,Windows 7 SP1 or Windows 8.1 or Windows 10 (64bit versions),Intel Core i5 2400s @ 2.5 GHz / AMD FX 6350 @ 3.9 GHz,6 GB RAM,NVIDIA GeForce GTX 660 / AMD Radeon R9 270 (2GB VRAM with Shader Model 5.0),---,e6cd2745c0a3496383e0adc95c7b63b1
e6cd2745c0a3496383e0adc95c7b63b12,Windows 7 SP1 or Windows 8.1 or Windows 10 (64bit versions),Intel Core i7 3770 @ 3.5 GHz / AMD FX 8350 @ 4.0 GHz,8 GB RAM,NVIDIA GeForce GTX 760 (4GB) or the newer GTX 970 (4GB) / AMD Radeon R9 280X (3GB of VRAM) or better,,e6cd2745c0a3496383e0adc95c7b63b1
dce338d41ea84680a81ad383a1f7f4011,Windows 7 64 bit,"Dual Core Processor, 2.5 GHz or Higher",4 GB RAM,DX11 compatible video card,2 GB available space,dce338d41ea84680a81ad383a1f7f401
dce338d41ea84680a81ad383a1f7f4012,Windows 7 64 bit,"Dual Core Processor, 2.5 GHz or Higher",4 GB RAM,DX11 compatible video card,2 GB available space,dce338d41ea84680a81ad383a1f7f401
4019722ac05540b69f172d51824681751,Windows XP or later,x86-compatible 800MHz processor,512MB,"DirectX-compatible 3D graphics with at least 64MB of addressable memory (such as an ATI Radeon 7200, NVIDIA GeForce 2, or Intel GMA 950)",400MB,4019722ac05540b69f172d5182468175
4019722ac05540b69f172d51824681752,Windows XP or later,x86-compatible 800MHz processor,512MB,"DirectX-compatible 3D graphics with at least 64MB of addressable memory (such as an ATI Radeon 7200, NVIDIA GeForce 2, or Intel GMA 950)",400MB,4019722ac05540b69f172d5182468175
aab7e770208a419286ef5fe2f9a98a601,Windows 7 or later,Intel Core i3 2.5GHz,4GB,GeForce GTX 660 or equivalent,,aab7e770208a419286ef5fe2f9a98a60
aab7e770208a419286ef5fe2f9a98a602,Windows 7 or later,Intel Core i5 3.0 GHz,8GB,GeForce GTX 660 or equivalent,,aab7e770208a419286ef5fe2f9a98a60
4531b00fcf354680bf68d138b7155fda1,Windows 10 / 8.1 / 7,1.8 GHz Intel Core 2 Duo / 2.0 GHz AMD Athlon X2 64,2 GB RAM,Nvidia GeForce 8800 GT / ATI Radeon HD 3870 / Intel HD Graphics 4600,2 GB,4531b00fcf354680bf68d138b7155fda
4531b00fcf354680bf68d138b7155fda2,Windows 10 / 8.1 / 7,3 GHz Intel Quad-Core Processor / 3.2 GHz AMD Six-Core Processor,4 GB RAM,Nvidia GeForce GTX 460 / AMD Radeon HD 7850,2 GB,4531b00fcf354680bf68d138b7155fda
bef777f5e5e74f6a942384638c41cc511,Windows Vista,Dual Core,2 GB RAM,,1 GB available space,bef777f5e5e74f6a942384638c41cc51
bef777f5e5e74f6a942384638c41cc512,,,,,,bef777f5e5e74f6a942384638c41cc51
e3446d29202c46cdb827d35dc1fae75f1,Windows® 7 64bits,Intel Core i3-540 or AMD Phenom II X4 940,4 GB RAM,Nvidia GeForce GTX 560 or AMD Radeon HD 6870,12 GB,e3446d29202c46cdb827d35dc1fae75f
e3446d29202c46cdb827d35dc1fae75f2,Windows® 7 64bits,Intel Core i5-6600 or AMD Ryzen 5 1600,8 GB RAM,Nvidia GeForce GTX 1060 3 Go or Radeon RX 580 4 Go,12 GB,e3446d29202c46cdb827d35dc1fae75f
69d2af5db6994e2db61d70810ce563af1,Mac OSX 10.12+,Dual-core 2.5 GHz,4 GB,GeForce 610M or equivalent,500 MB,69d2af5db6994e2db61d70810ce563af
69d2af5db6994e2db61d70810ce563af2,Mac OSX 10.12+,Dual-core 2.8 GHz,6 GB,,,69d2af5db6994e2db61d70810ce563af
4423a534b0ca48b885abcf23a5e27e611,Windows 8,Intel Core i5 dual-core 2.8GHz or equivalent,4 GB RAM,DirectX 11 compatible graphics card,4 GB available space,4423a534b0ca48b885abcf23a5e27e61
4423a534b0ca48b885abcf23a5e27e612,Windows 10,Intel Core i5 quad-core 3.4GHz or equivalent,8 GB RAM,GeForce GTX 660 (2048 MB) / Radeon HD 7970,4 GB available space,4423a534b0ca48b885abcf23a5e27e61
e97596b69a334eb896d3567ffad850931,Windows 7 SP1+ (or later),Intel or AMD Dual Core at 2 GHz or better, 2 GB RAM,Intel Graphics 4400 or better,400 MB available space,e97596b69a334eb896d3567ffad85093
e97596b69a334eb896d3567ffad850932,Windows 7 SP1+ (or later),Intel or AMD Dual Core at 2 GHz or better, 2 GB RAM,Intel Graphics 4400 or better,400 MB available space,e97596b69a334eb896d3567ffad85093
e33a567a8ce04ed5abc23d5e46a980871,Windows 7,2.6 GHz,4 GB RAM,GeForce 700 Series,3 GB available space,e33a567a8ce04ed5abc23d5e46a98087
73fbe4d673504c2a80261cf6bfcff20f1,Windows 10 64-bit,AMD FX-6300 | Intel i5-2500 @ 2.7GHz,8 GB RAM,NVIDIA GeForce GTX 760 | AMD Radeon HD 7870 ,17 GB,73fbe4d673504c2a80261cf6bfcff20f
73fbe4d673504c2a80261cf6bfcff20f2,Windows 10 64-bit,AMD FX-8350 | Intel i5-4570 @ 3.2GHz,16 GB RAM,NVIDIA GeForce GTX 1650 4GB | AMD Radeon R9 380,17 GB,73fbe4d673504c2a80261cf6bfcff20f
0067751df1d944fdbde06a883fc4a0e81,"Windows 7, Windows 8.1, Windows 10 (64-bit versions only)",Intel Core 2 Quad Q9550 | AMD Phenom II X4 945 or equivalent, 4 GB RAM,NVIDIA GeForce GTS 450 | AMD Radeon HD 5670 or equivalent,3 GB available space,0067751df1d944fdbde06a883fc4a0e8
0067751df1d944fdbde06a883fc4a0e82,"64bit Versions of Windows 7, Windows 8, Windows 10",Intel Core i3 530, 4 GB RAM,NVIDIA GTX 560TI or AMD 5870,,0067751df1d944fdbde06a883fc4a0e8
c12806e289d94b1180fde0221c13c70d1,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",Intel Core i3-550 @ 3.0 GHz or AMD Phenom II X4 945 @ 3.0 GHz or equivalent,4 GB RAM,NVIDIA GeForce GTX460v2 or AMD HD7750 (1024 MB VRAM with Shader Model 5.0 or better),2 GB available space,c12806e289d94b1180fde0221c13c70d
c12806e289d94b1180fde0221c13c70d2,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",Intel Core i5- 2400 @ 3.1 GHz or AMD FX-4320 @ 4.0 GHz, 8 GB RAM,NVIDIA GeForce GTX680 or AMD R7 260X (2GB VRAM with Shader Model 5.0 or better),,c12806e289d94b1180fde0221c13c70d
3040b13256b4463dae6358738d62d5e51,Windows 7/8/10 (64 bits),Intel Core i5-4440 (3.10GHz)/AMD FX-6300 (3.50GHz),16 GB RAM,NVIDIA GeForce GTX 760/AMD Radeon HD 7970,,3040b13256b4463dae6358738d62d5e5
3040b13256b4463dae6358738d62d5e52,Windows 7/8/10 (64 bits),Intel Core i7-8700 (3.20GHz)/AMD Ryzen 7 2700 (3.20GHz),32 GB RAM,NVIDIA GeForce GTX 980/AMD Radeon R9 390X,,3040b13256b4463dae6358738d62d5e5
e64af2d6202d4b64b86abe428250dbff1,Windows 7 DX11 Support,Intel Core i5,4 GB RAM,Nvidia 660Ti,15 GB available space,e64af2d6202d4b64b86abe428250dbff
e64af2d6202d4b64b86abe428250dbff2,Windows 10,Intel Core i7,8 GB RAM,Nvidia GTX 970,15 GB available space,e64af2d6202d4b64b86abe428250dbff
88be15452fea4ebf9e211deb291e81891,Windows Vista® (SP2) x64 / Windows 7 (SP1) x64 / Windows 8 x64 (x64 bit versions only),2.66 GHz Intel® Core2 Quad Q8400 or 3.0 GHz AMD Phenom™ II X4 940 ,6 GB RAM,1024 VRAM DirectX 11 with Shader Model 5.0 or higher,25 GB available space,88be15452fea4ebf9e211deb291e8189
88be15452fea4ebf9e211deb291e81892,Windows Vista (SP2) x64 / Windows 7 (SP1) x64 / Windows® 8 x64 (x64 bit versions only),3.5 GHz Intel Core i7-3770 or 4.0 GHz AMD FX-8350 or better,8 GB RAM or greater,2048 VRAM DirectX 11 with Shader Model 5.0 or higher ,25 GB available space,88be15452fea4ebf9e211deb291e8189
6005be154ca94b978757989243a9ec731,Windows 7 64-bit or newer,Core 2 Duo 2.4 GHz or Athlon X2 2.7 GHz,4 GB,Nvidia GeForce 8800 GT,30 GB,6005be154ca94b978757989243a9ec73
6005be154ca94b978757989243a9ec732,Windows 8/10 64-bit (latest Service Pack),"Intel Core i5-750, 2.67 GHz / AMD Phenom II X4 965, 3.4 GHz",6 GB,Nvidia GeForce GTX 660 or ATI Radeon HD 7950,30 GB,6005be154ca94b978757989243a9ec73
fd2df056f60e4ca8a59ca5c5f0ff33951,Windows 7 SP1 or Windows 8/8.1 (64bit versions only),Intel Core2Quad Q6600 @ 2.4 GHz or AMD Athlon II X4 620 @ 2.6 GHzH,2 GB RAM,nVidia GeForce GTS450 or AMD Radeon HD5670 (1024MB VRAM) or Intel HD4600,12 GB available space,fd2df056f60e4ca8a59ca5c5f0ff3395
fd2df056f60e4ca8a59ca5c5f0ff33952,Windows 7 SP1 or Windows 8/8.1 (64bit versions only),Intel Core i5 2400s @ 2.5 GHz or better / AMD FX-6100 @ 3.3 GHz or better,2 GB RAM,nVidia GeForce GTX 560Ti (1024 VRAM) or better / AMD Radeon HD 6870 (1024 VRAM) or better,12 GB available space,fd2df056f60e4ca8a59ca5c5f0ff3395
84f8d79ca9d84057ba4406d215cb6ad51,Windows XP,Dual Core,2 GB RAM,"GeForce 7600 GT (256 MB), Intel HD Graphics 4400 (Shared), Radeon X1600 XT (256 MB)",500 MB available space,84f8d79ca9d84057ba4406d215cb6ad5
84f8d79ca9d84057ba4406d215cb6ad52,Windows XP/Vista/7/8/8.1/10 64-bit,"Intel Core2 Duo E4500 (2 * 2200) or equivalent, AMD Athlon 64 X2 4200+ (2 * 2200) or equivalent",2 GB RAM,"GeForce 7600 GT (256 MB), Intel HD Graphics 4400 (Shared), Radeon X1600 XT (256 MB)",500 MB available space,84f8d79ca9d84057ba4406d215cb6ad5
addd4e86c4d746ab86f21606bdadce7d1,Windows 7,"Intel Core i5 4670T @2.3 GHz, AMD FX 8370E @3.3 GHz",8 GB RAM,"Nvidia Geforce GTX 480, Nvidia GeForce GTX 580M, AMD Radeon R7-265 or equivalent",3 GB available space,addd4e86c4d746ab86f21606bdadce7d
addd4e86c4d746ab86f21606bdadce7d2,Windows 10,"Intel Core i5 2500 @3.3 GHz, AMD FX 6120 @3.6 GHz",8 GB RAM,"Nvidia Geforce GTX 650 Ti, Nvidia GeForce GT 750M, Radeon HD5850 or equivalent",3 GB available space,addd4e86c4d746ab86f21606bdadce7d
ba1f4fa2618046a0a8d71588cd0c2a681,Windows 7," 3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)",2GB RAM,,3GB,ba1f4fa2618046a0a8d71588cd0c2a68
ba1f4fa2618046a0a8d71588cd0c2a682,Windows 10," 3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)",4GB RAM,,3GB,ba1f4fa2618046a0a8d71588cd0c2a68
1f7e992461c044b9972d0c3fb6a9277a1,Windows 7 64-bit,,4 GB,GeForce GTX 660 / Radeon HD 7950 or Radeon R9 290,,1f7e992461c044b9972d0c3fb6a9277a
1f7e992461c044b9972d0c3fb6a9277a2,Windows 10 64-bit,,8 GB,GeForce GTX 970 (4 GB) / Radeon R9 390,,1f7e992461c044b9972d0c3fb6a9277a
9aa227e2ba294bb1a95c95fde892eb311,OS X 10.6 or newer,Quad Core Intel Core i7,4 GB RAM,Geforce GT 650m or equivalent,3 GB available space,9aa227e2ba294bb1a95c95fde892eb31
9aa227e2ba294bb1a95c95fde892eb312,OS X 10.6 or newer,Quad Core Intel Core i7,8 GB RAM,Radeon Pro 560X,3 GB available space,9aa227e2ba294bb1a95c95fde892eb31
afadb715390a4593acdca79dae94b60a1,WINDOWS VISTA SP2/WINDOWS 7/WINDOWS 8,AMD/INTEL DUAL-CORE 2.4 GHZ,2048 MB RAM,256 MB 100% DIRECTX 9 COMPATIBLE AMD RADEON HD 3850/NVIDIA GEFORCE 8600 GTS OR HIGHER,14 GB available space,afadb715390a4593acdca79dae94b60a
afadb715390a4593acdca79dae94b60a2,WINDOWS 7,Intel Core 2 Quad Q6600 2.4GHz / AMD APU A6-3600 Quad-Core,6 GB RAM,AMD Radeon HD 5830 or NVIDIA GeForce GTX 460,14 GB available space,afadb715390a4593acdca79dae94b60a
0823aa31fb7540db886871c5aa44dcc31,Windows 7 SP1 / 8.1 / 10,i3 Sandy Bridge Dual Core or Equivalent,,2GB of VRAM; NVIDIA GeForce GTX 500 Series / AMD Radeon HD 7000 Series,5 GB,0823aa31fb7540db886871c5aa44dcc3
0823aa31fb7540db886871c5aa44dcc32,,,,,,0823aa31fb7540db886871c5aa44dcc3
56b3f851cc664490a9911040da23a6111,Windows 7 32-bit,1.8GHz,2GB,512MB Video RAM,2GB,56b3f851cc664490a9911040da23a611
56b3f851cc664490a9911040da23a6112,Windows 10 64-bit,2.6GHz,4GB,2GB Video RAM,,56b3f851cc664490a9911040da23a611
a541f0935a3340c5b05a3742e0888d181,Windows 8/10 64-bit,3.2 GHz Dual Core Processor,4 GB RAM," GeForce GTX 660, Radeon R7 370 or equivalent with 2 GB of video RAM ",8 GB available space,a541f0935a3340c5b05a3742e0888d18
a541f0935a3340c5b05a3742e0888d182,Windows 8/10 64-bit,3.2 GHz Quad Core Processor,8 GB RAM,"GeForce 970, Radeon RX 580 or equivalent with 4GB of video RAM ",8 GB available space,a541f0935a3340c5b05a3742e0888d18
ae212a8d9bda47228596f6ce38e5c5971,,,,,,ae212a8d9bda47228596f6ce38e5c597
ae212a8d9bda47228596f6ce38e5c5972,,,,,,ae212a8d9bda47228596f6ce38e5c597
f6db79620fd849a685f8b463d3a8bf2d1,Windows 10 (64-bit versions only),Intel Core i5-2400 @ 3.1 GHz | AMD FX-6300 @ 3.5 GHz or better,8 GB RAM,NVIDIA GeForce GTX 760 (2GB VRAM or better) | AMD R9 270 (2GB VRAM or better),59 GB available space,f6db79620fd849a685f8b463d3a8bf2d
f6db79620fd849a685f8b463d3a8bf2d2,Windows 10 (64-bit versions only),Intel Core i7-4770 @ 3.4 GHz | AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,16 GB RAM,NVIDIA GeForce GTX 1070 (6GB VRAM or better) | AMD Vega 56 (6GB VRAM or better),59 GB available space,f6db79620fd849a685f8b463d3a8bf2d
7ad72dc39d624bbd912c195daad10d001,Windows 7/8/8.1/10 x64,Intel Core2 Duo E4300 (2 * 1800) / AMD Athlon Dual Core 4450e (2 * 2300) or equivalent,4096 MB RAM,GeForce 8800 GTX (768 MB) / Intel HD 4600 / Radeon HD 3850 (512 MB),3GB,7ad72dc39d624bbd912c195daad10d00
7ad72dc39d624bbd912c195daad10d002,Windows 7/8/8.1/10 x64,Intel Core i5-4570T (2* 2900) / AMD FX-6100 (6 * 3300) or equivalent,4096 MB RAM,GeForce GTX 750 Ti (2048 MB) / Radeon HD 7850 (2048 MB),3GB,7ad72dc39d624bbd912c195daad10d00
f57f2cf4b6aa49be84688e4ea571ccbe1,Windows 7 64-bit or newer,Core 2 Duo 2.4 GHz or Athlon X2 2.7 GHz,4 GB,Nvidia GeForce 8800 GT,30 GB,f57f2cf4b6aa49be84688e4ea571ccbe
f57f2cf4b6aa49be84688e4ea571ccbe2,Windows 8/10 64-bit (latest Service Pack),"Intel Core i5 or AMD Phenom II X3, 2.8 GHz",6 GB,Nvidia GeForce GTX 660 or ATI Radeon HD 7950,30 GB,f57f2cf4b6aa49be84688e4ea571ccbe
5014d355b4684d80a095a570219c34431,Windows 7/8/10 (64-bit),Intel i3-4130 3.4 GHz / AMD Ryzen 3 2200U 3.4 GHz,8 GB,"2 GB, GeForce GTX 660 / Radeon R9 270",20 GB,5014d355b4684d80a095a570219c3443
5014d355b4684d80a095a570219c34432,Windows 7/8/10 (64-bit),Intel i7-8700 3.2 GHz / AMD Ryzen 7 2700 3.2 GHz,16 GB,"4 GB, GeForce GTX 970 / Radeon RX 580",20 GB,5014d355b4684d80a095a570219c3443
4dc13c6a34d04d249fd84fdf811f266f1,Win7,Intel Core i5-2500K or AMD equivalent,4GB,Intel HD 4400 or Nvidia and AMD equivalent,2.5GB,4dc13c6a34d04d249fd84fdf811f266f
4dc13c6a34d04d249fd84fdf811f266f2,Win10, Intel Core i7-3770/AMD FX-8350 or better,4GB,GeForce GTX 750 or AMD equivalent,,4dc13c6a34d04d249fd84fdf811f266f
2c38503c83df4fd4ae7cd9c3a8a50ce81,"Windows 7, 8/8.1, 10",2.0 Ghz,2.5 GB RAM,128mb Video Memory,500 MB available space,2c38503c83df4fd4ae7cd9c3a8a50ce8
2c38503c83df4fd4ae7cd9c3a8a50ce82,"Windows 7, 8/8.1, 10",2.0 Ghz,2.5 GB RAM,128mb Video Memory,500 MB available space,2c38503c83df4fd4ae7cd9c3a8a50ce8
785b37a897c14ad589d2d5f79aaf372e1,Windows XP,2.0 Ghz,2 GB,,,785b37a897c14ad589d2d5f79aaf372e
785b37a897c14ad589d2d5f79aaf372e2,Windows 7,2.0 Ghz,2 GB,,,785b37a897c14ad589d2d5f79aaf372e
50c1f8b00eff4eb68b474bf57a2bf7bc1,"Windows 8/8.1, 10",2.0 Ghz,2.5 GB RAM,,,50c1f8b00eff4eb68b474bf57a2bf7bc
50c1f8b00eff4eb68b474bf57a2bf7bc2,"Windows 8/8.1, 10",2.0 Ghz,2.5 GB RAM,,,50c1f8b00eff4eb68b474bf57a2bf7bc
742f762ba0094daea72d91153433fb451,"Windows 7, Windows 8 or Windows 10 (64-bit versions only)",Intel or AMD CPU,4 GB,"HD 4600 or Radeon HD 8670D integrated graphics (1 GB, with Shader Model 5.0)",,742f762ba0094daea72d91153433fb45
742f762ba0094daea72d91153433fb452,"Windows 7, Windows 8 or Windows 10 (64-bit versions only)",Intel Core i3-2120 @ 3.3 GHz or AMD FX-4320 @ 4.0 GHz,4 GB,"NVIDIA GeForce GTX 650Ti or AMD Radeon HD 7770 (1 GB, with Shader Model 5.0)",,742f762ba0094daea72d91153433fb45
51a30dc6b394462aaa49bd7e3321a2e31,High Sierra 10.13,"Intel i5, 6th gen, 2.7GHz or similar",8 GB,"METAL capable GPUs, 2GB VRAM",10 GB,51a30dc6b394462aaa49bd7e3321a2e3
51a30dc6b394462aaa49bd7e3321a2e32,Mojave 10.14+,"Intel i5, 8th gen, 3GHz or similar",16 GB,"METAL capable GPUs, 4GB VRAM",14 GB,51a30dc6b394462aaa49bd7e3321a2e3
1516933c27344f478d04efa7ccaa623e1,"Windows Vista, Windows 7, Windows 10",Intel i3,4 GB RAM,,500 MB available space,1516933c27344f478d04efa7ccaa623e
