id,operacional_system,processor,memory,graphics,fk_game_id
9ccfdd9d080949f99d4d2b0aa321b1651,"Win 7, Vista and XP",1.5 Ghz,1GB,,,9ccfdd9d080949f99d4d2b0aa321b165
9ccfdd9d080949f99d4d2b0aa321b1652,"Win 7, Vista and XP",1.5 Ghz,1GB,,,9ccfdd9d080949f99d4d2b0aa321b165
50ca821abd824c2994ad1798eb8454a61,Windows® 7SP1 / Windows® 8,"2.6 GHz Intel® Core®2 Duo E6700, 3.0Ghz AMD® Athlon64 X2 6000+",4 GB RAM,512 MB DirectX® 10 compliant with Shader Model 4.0 or higher (see supported list),15 GB available space,50ca821abd824c2994ad1798eb8454a6
50ca821abd824c2994ad1798eb8454a62,Windows® 7SP1 / Windows® 8,"2.9 Ghz Intel® Core®i3-530 or better, 3.1 GHz AMD® PhenomII X2",4 GB RAM,"DirectX® 11 compliant, 1024Mb Video/Graphics Card",17 GB available space,50ca821abd824c2994ad1798eb8454a6
674967c55648467ba8e9d163a27170db1,Windows 8,1.0 GHz,512 MB,,400 MB,674967c55648467ba8e9d163a27170db
674967c55648467ba8e9d163a27170db2,Windows 10,2.0 GHz,1 GB,,,674967c55648467ba8e9d163a27170db
b4eb01e10f224126b7b4f7a56a65a6ec1,Windows XP Service Pack 3,Intel Core 2 Duo 2GHz or equivalent,3 GB RAM,ATI or NVidia card w/ 512 MB RAM,8 GB available space,b4eb01e10f224126b7b4f7a56a65a6ec
b4eb01e10f224126b7b4f7a56a65a6ec2,Windows 7 64Bit Service Pack 1,Core 2 Duo 2.3 Ghz or equivalent,4 GB RAM,ATI or NVidia card w/ 1024 MB RAM,15 GB available space,b4eb01e10f224126b7b4f7a56a65a6ec
442f123b4d884d8ca85236aa30b99a791,"Windows XP SP3 (for Version 1.11, accessible through the 'Betas' tab)",Intel Core 2 Duo 2.8Ghz or equivalent,2 GB RAM,"2nd Generation Intel Core HD Graphics (2000/3000), or dedicated GPU with OpenGL 3.0 Support",,442f123b4d884d8ca85236aa30b99a79
442f123b4d884d8ca85236aa30b99a792,Windows 7 (for version 1.12 or later),nVidia GeForce GT 240 or better,4 GB RAM,nVidia GeForce GT 240 or better,,442f123b4d884d8ca85236aa30b99a79
4daf8ec797014b5eb4a9cdb41d73bb601,"OPERATING SYSTEM: Windows XP SP3, Vista SP2, Windows 7® SP1, Windows 8 (both 32/64bit versions)",Intel Core®2Duo E2180 @ 2.0 GHz or AMD Athlon™ X2 3800+ @ 2.0 GHz,2 GB,nVidia GeForce® 7900GT or AMD Radeon™ 2900 - See supported List*,4 GB,4daf8ec797014b5eb4a9cdb41d73bb60
4daf8ec797014b5eb4a9cdb41d73bb602,"Windows XP SP3, Vista SP2, Windows 7® SP1, Windows 8 (both 32/64bit versions)",Intel Core®2Duo E4400 @ 2.0 GHz or better / AMD Athlon™ X2 4400+ @ 2.3 GHz or better,4GB or more,nVidia GeForce® 8800GT or AMD Radeon™ HD3870) / 512MB VRAM with Shader Model 3.0 or higher - See supported List*,4 GB,4daf8ec797014b5eb4a9cdb41d73bb60
7981b6d8a37142b9aed96155b93ff8da1,"Windows Vista, Windows 7 SP1, Windows 8/8.1 (32/64bit versions)",Intel Core2Duo E8200 @ 2.6 GHz or AMD Athlon II X2 240 @ 2.8 GHz,2 GB RAM,nVidia GeForce 8800 GT or AMD Radeon HD2900 XT (512MB VRAM with Shader Model 4.0 or higher),3 GB available space,7981b6d8a37142b9aed96155b93ff8da
